name,classification,grades_average,grades_between_0_2_5,grades_between_2_5_5,grades_between_5_7_5,grades_between_7_5_10,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_complete_below_average,activities_incomplete,activities_incomplete_below_average,attendance_below_mean,missing,partial_presence,amount_sequencial_missing,sequencial_missing_1,sequencial_missing_2,sequencial_missing_3
33,negative,5.79090909090909,36.36363636363637,9.090909090909092,0.0,54.54545454545454,45.45454545454545,45.45454545454545,0.0,0.0,0.0,0.0,0.0,27.27272727272727,18.181818181818183,0.0,0.0,0.0,0,0,0,0
34,positive,1.2181818181818183,81.81818181818183,9.090909090909092,0.0,9.090909090909092,90.9090909090909,90.9090909090909,0.0,0.0,0.0,0.0,0.0,81.81818181818183,18.181818181818183,38.46153846153847,38.46153846153847,0.0,1,2,0,1
35,positive,1.5909090909090908,81.81818181818183,0.0,9.090909090909092,9.090909090909092,81.81818181818183,81.81818181818183,0.0,0.0,0.0,0.0,0.0,72.72727272727273,18.181818181818183,23.076923076923077,23.076923076923077,0.0,0,3,0,0
36,negative,8.118181818181817,18.181818181818183,0.0,0.0,81.81818181818183,18.181818181818183,18.181818181818183,0.0,0.0,0.0,0.0,18.181818181818183,18.181818181818183,0.0,7.6923076923076925,7.6923076923076925,0.0,0,1,0,0
37,negative,5.890909090909091,36.36363636363637,0.0,9.090909090909092,54.54545454545454,36.36363636363637,36.36363636363637,0.0,0.0,0.0,0.0,0.0,36.36363636363637,18.181818181818183,7.6923076923076925,7.6923076923076925,0.0,0,1,0,0
38,positive,0.9090909090909091,90.9090909090909,0.0,0.0,9.090909090909092,90.9090909090909,90.9090909090909,0.0,0.0,0.0,0.0,0.0,90.9090909090909,18.181818181818183,15.384615384615385,15.384615384615385,0.0,0,0,1,0
39,positive,0.36363636363636365,90.9090909090909,9.090909090909092,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,90.9090909090909,18.181818181818183,38.46153846153847,38.46153846153847,0.0,0,1,2,0
4,negative,8.181818181818182,18.181818181818183,0.0,0.0,81.81818181818183,18.181818181818183,18.181818181818183,0.0,0.0,0.0,0.0,18.181818181818183,18.181818181818183,0.0,7.6923076923076925,7.6923076923076925,0.0,0,1,0,0
40,negative,9.909090909090908,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,15.384615384615385,15.384615384615385,0.0,0,0,1,0
41,negative,5.454545454545454,36.36363636363637,9.090909090909092,9.090909090909092,45.45454545454545,45.45454545454545,45.45454545454545,0.0,0.0,0.0,0.0,18.181818181818183,27.27272727272727,0.0,15.384615384615385,15.384615384615385,0.0,0,2,0,0
42,negative,9.845454545454546,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,7.6923076923076925,7.6923076923076925,0.0,0,1,0,0
43,negative,7.209090909090909,27.27272727272727,0.0,0.0,72.72727272727273,27.27272727272727,27.27272727272727,0.0,0.0,0.0,0.0,0.0,27.27272727272727,18.181818181818183,0.0,0.0,0.0,0,0,0,0
44,positive,0.7363636363636363,90.9090909090909,0.0,0.0,9.090909090909092,90.9090909090909,90.9090909090909,0.0,0.0,0.0,0.0,0.0,90.9090909090909,18.181818181818183,15.384615384615385,15.384615384615385,0.0,0,2,0,0
