name,classification,grades_average,grades_between_0_2_5,grades_between_2_5_5,grades_between_5_7_5,grades_between_7_5_10,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_complete_below_average,activities_incomplete,activities_incomplete_below_average,attendance_below_mean,missing,partial_presence,amount_sequencial_missing,sequencial_missing_1,sequencial_missing_2,sequencial_missing_3,sequencial_missing_6,sequencial_missing_9,sequencial_missing_12
27,negative,6.376470588235295,35.294117647058826,0.0,0.0,64.70588235294117,35.294117647058826,35.294117647058826,0.0,0.0,0.0,0.0,0.0,17.647058823529413,5.88235294117647,21.052631578947366,21.052631578947366,0.0,0,4,0,0,0,0,0
28,negative,8.764705882352942,5.88235294117647,11.76470588235294,0.0,82.35294117647058,17.647058823529413,5.88235294117647,0.0,0.0,0.0,0.0,5.88235294117647,5.88235294117647,0.0,10.526315789473683,10.526315789473683,0.0,0,2,0,0,0,0,0
29,negative,8.9,11.76470588235294,0.0,0.0,88.23529411764706,11.76470588235294,11.76470588235294,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,15.789473684210526,15.789473684210526,0.0,0,3,0,0,0,0,0
3,negative,8.394117647058822,11.76470588235294,0.0,11.76470588235294,76.47058823529412,11.76470588235294,11.76470588235294,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,15.789473684210526,15.789473684210526,0.0,0,3,0,0,0,0,0
30,negative,5.835294117647059,35.294117647058826,5.88235294117647,5.88235294117647,52.94117647058824,41.17647058823529,41.17647058823529,0.0,0.0,0.0,0.0,0.0,5.88235294117647,5.88235294117647,26.31578947368421,26.31578947368421,0.0,0,2,0,0,0,0,0
31,positive,0.5882352941176471,94.11764705882352,0.0,0.0,5.88235294117647,94.11764705882352,94.11764705882352,0.0,0.0,0.0,0.0,0.0,94.11764705882352,5.88235294117647,21.052631578947366,21.052631578947366,0.0,0,3,0,0,0,0,0
32,negative,9.041176470588235,5.88235294117647,5.88235294117647,0.0,88.23529411764706,11.76470588235294,5.88235294117647,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,15.789473684210526,15.789473684210526,0.0,0,2,0,0,0,0,0
33,negative,7.270588235294118,17.647058823529413,11.76470588235294,5.88235294117647,64.70588235294117,29.411764705882355,23.52941176470588,0.0,0.0,0.0,0.0,0.0,5.88235294117647,5.88235294117647,15.789473684210526,15.789473684210526,0.0,0,0,0,0,0,0,0
34,positive,0.25882352941176473,94.11764705882352,5.88235294117647,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,94.11764705882352,5.88235294117647,36.84210526315789,36.84210526315789,0.0,1,2,1,1,0,0,0
35,positive,1.0294117647058822,88.23529411764706,0.0,5.88235294117647,5.88235294117647,88.23529411764706,88.23529411764706,0.0,0.0,0.0,0.0,0.0,82.35294117647058,5.88235294117647,26.31578947368421,21.052631578947366,5.263157894736842,0,3,0,0,0,0,0
