Dataset,Sample Method,Preprocessing,Learner,Recall,Precision,Accuracy,F1 Score
Turma 1,10 Fold,ANOVA Top 5,Tree,0.7,0.63636,0.82927,0.66667
Turma 1,10 Fold,ANOVA Top 5,kNN,0.0,0.0,0.65854,0.0
Turma 1,10 Fold,ANOVA Top 5,Naive Bayes,0.7,0.36842,0.63415,0.48276
Turma 1,10 Fold,ANOVA Top 5,SVM,0.0,0.0,0.65854,0.0
Turma 1,10 Fold,ANOVA Top 5,Gradient Boosting,0.6,0.75,0.85366,0.66667
Turma 1,10 Fold,ANOVA Top 5,AdaBoost,0.5,0.625,0.80488,0.55556
Turma 1,10 Fold,ANOVA Top 5,Logistic Regression,0.7,0.875,0.90244,0.77778
Turma 1,10 Fold,Chi2 Top 5,Neural Network,0.5,0.625,0.80488,0.55556
Turma 1,10 Fold,Chi2 Top 5,Random Forest,0.5,0.55556,0.78049,0.52632
Turma 1,10 Fold,Chi2 Top 5,Tree,0.6,0.6,0.80488,0.6
Turma 1,10 Fold,Chi2 Top 5,kNN,0.2,0.4,0.73171,0.26667
Turma 1,10 Fold,Chi2 Top 5,Naive Bayes,0.7,0.4375,0.70732,0.53846
Turma 1,10 Fold,Chi2 Top 5,SVM,0.0,0.0,0.68293,0.0
Turma 1,10 Fold,Chi2 Top 5,Gradient Boosting,0.5,0.625,0.80488,0.55556
Turma 1,10 Fold,Chi2 Top 5,AdaBoost,0.5,0.71429,0.82927,0.58824
Turma 1,10 Fold,Chi2 Top 5,Logistic Regression,0.5,0.625,0.80488,0.55556
Turma 1,10 Fold,Chi2 Top 10,Neural Network,0.6,0.75,0.85366,0.66667
Turma 1,10 Fold,Chi2 Top 10,Random Forest,0.5,0.5,0.7561,0.5
Turma 1,10 Fold,Chi2 Top 10,Tree,0.7,0.63636,0.82927,0.66667
Turma 1,10 Fold,Chi2 Top 10,kNN,0.0,0.0,0.63415,0.0
Turma 1,10 Fold,Chi2 Top 10,Naive Bayes,0.8,0.42105,0.68293,0.55172
Turma 1,10 Fold,Chi2 Top 10,SVM,0.0,0.0,0.70732,0.0
Turma 1,10 Fold,Chi2 Top 10,Gradient Boosting,0.5,0.71429,0.82927,0.58824
Turma 1,10 Fold,Chi2 Top 10,AdaBoost,0.5,0.71429,0.82927,0.58824
Turma 1,10 Fold,Chi2 Top 10,Logistic Regression,0.7,0.77778,0.87805,0.73684
Turma 1,10 Fold,ANOVA Top 10,Neural Network,0.5,0.55556,0.78049,0.52632
Turma 1,10 Fold,ANOVA Top 10,Random Forest,0.4,0.44444,0.73171,0.42105
Turma 1,10 Fold,ANOVA Top 10,Tree,0.7,0.63636,0.82927,0.66667
Turma 1,10 Fold,ANOVA Top 10,kNN,0.0,0.0,0.65854,0.0
Turma 1,10 Fold,ANOVA Top 10,Naive Bayes,0.8,0.38095,0.63415,0.51613
Turma 1,10 Fold,ANOVA Top 10,SVM,0.0,0.0,0.63415,0.0
Turma 1,10 Fold,ANOVA Top 10,Gradient Boosting,0.4,0.57143,0.78049,0.47059
Turma 1,10 Fold,ANOVA Top 10,AdaBoost,0.5,0.71429,0.82927,0.58824
Turma 1,10 Fold,ANOVA Top 10,Logistic Regression,0.7,0.77778,0.87805,0.73684
Turma 1,10 Fold,Gain ratio Top 10,Neural Network,0.4,0.66667,0.80488,0.5
Turma 1,10 Fold,Gain ratio Top 10,Random Forest,0.4,0.57143,0.78049,0.47059
Turma 1,10 Fold,Gain ratio Top 10,Tree,0.5,0.55556,0.78049,0.52632
Turma 1,10 Fold,Gain ratio Top 10,kNN,0.0,0.0,0.63415,0.0
Turma 1,10 Fold,Gain ratio Top 10,Naive Bayes,0.9,0.40909,0.65854,0.5625
Turma 1,10 Fold,Gain ratio Top 10,SVM,0.0,0.0,0.7561,0.0
Turma 1,10 Fold,Gain ratio Top 10,Gradient Boosting,0.4,0.57143,0.78049,0.47059
Turma 1,10 Fold,Gain ratio Top 10,AdaBoost,0.4,0.66667,0.80488,0.5
Turma 1,10 Fold,Gain ratio Top 10,Logistic Regression,0.6,0.75,0.85366,0.66667
Turma 1,10 Fold,Info gain Top 10,Neural Network,0.4,0.57143,0.78049,0.47059
Turma 1,10 Fold,Info gain Top 10,Random Forest,0.4,0.8,0.82927,0.53333
Turma 1,10 Fold,Info gain Top 10,Tree,0.5,0.45455,0.73171,0.47619
Turma 1,10 Fold,Info gain Top 10,kNN,0.1,0.2,0.68293,0.13333
Turma 1,10 Fold,Info gain Top 10,Naive Bayes,0.8,0.4,0.65854,0.53333
Turma 1,10 Fold,Info gain Top 10,SVM,0.0,0.0,0.7561,0.0
Turma 1,10 Fold,Info gain Top 10,Gradient Boosting,0.4,0.5,0.7561,0.44444
Turma 1,10 Fold,Info gain Top 10,AdaBoost,0.4,0.5,0.7561,0.44444
Turma 1,10 Fold,Info gain Top 10,Logistic Regression,0.7,0.77778,0.87805,0.73684
Turma 2,10 Fold,Info gain Top 10,Neural Network,0.96875,0.93939,0.96512,0.95385
Turma 2,10 Fold,Info gain Top 10,Random Forest,0.9375,0.90909,0.94186,0.92308
Turma 2,10 Fold,Info gain Top 10,Tree,0.875,0.875,0.90698,0.875
Turma 2,10 Fold,Info gain Top 10,kNN,0.9375,0.90909,0.94186,0.92308
Turma 2,10 Fold,Info gain Top 10,Naive Bayes,1.0,0.86486,0.94186,0.92754
Turma 2,10 Fold,Info gain Top 10,SVM,0.9375,0.96774,0.96512,0.95238
Turma 2,10 Fold,Info gain Top 10,Gradient Boosting,0.90625,0.87879,0.9186,0.89231
Turma 2,10 Fold,Info gain Top 10,AdaBoost,0.90625,0.87879,0.9186,0.89231
Turma 2,10 Fold,Info gain Top 10,Logistic Regression,0.9375,0.90909,0.94186,0.92308
Turma 2,10 Fold,Gain ratio Top 10,Neural Network,0.96875,0.88571,0.94186,0.92537
Turma 2,10 Fold,Gain ratio Top 10,Random Forest,0.9375,0.90909,0.94186,0.92308
Turma 2,10 Fold,Gain ratio Top 10,Tree,0.875,0.875,0.90698,0.875
Turma 2,10 Fold,Gain ratio Top 10,kNN,0.96875,0.93939,0.96512,0.95385
Turma 2,10 Fold,Gain ratio Top 10,Naive Bayes,1.0,0.86486,0.94186,0.92754
Turma 2,10 Fold,Gain ratio Top 10,SVM,0.875,0.90323,0.9186,0.88889
Turma 2,10 Fold,Gain ratio Top 10,Gradient Boosting,0.90625,0.87879,0.9186,0.89231
Turma 2,10 Fold,Gain ratio Top 10,AdaBoost,0.90625,0.90625,0.93023,0.90625
Turma 2,10 Fold,Gain ratio Top 10,Logistic Regression,0.9375,0.90909,0.94186,0.92308
