dataset,ratio_evaluation,evaluation_method,feature_selection,learner,accuracy,f1_score,precision,recall,top 1,top 2,top 3,top 4,top 5,top 6,top 7,top 8,top 9,top 10
turma_1,1.0,"random (n=10, test=20%)",anova (10),tree,0.86,0.6971153846153847,0.7073170731707317,0.6872037914691943,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
turma_1,1.0,"random (n=10, test=20%)",anova (10),naive_bayes,0.7188888888888889,0.5925925925925927,0.467005076142132,0.8105726872246696,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
turma_1,1.0,"random (n=10, test=20%)",anova (10),logistic_regression,0.8911111111111111,0.7598039215686274,0.7948717948717948,0.7276995305164319,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
turma_1,1.0,"random (n=10, test=20%)",anova (10),neural_network,0.8466666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
turma_1,1.0,"random (n=10, test=20%)",anova (10),gradient_boosting,0.86,0.7236842105263158,0.717391304347826,0.7300884955752213,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
turma_1,1.0,"random (n=10, test=20%)",anova (10),svm,0.7511111111111111,0.3293413173652695,0.4330708661417323,0.26570048309178745,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
turma_1,1.0,holdout (33/67),anova (10),random_forest,0.7615384615384615,0.5633802816901409,0.4878048780487805,0.6666666666666666,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
turma_1,1.0,holdout (33/67),anova (10),knn,0.7692307692307693,0.5714285714285715,0.5,0.6666666666666666,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
turma_1,1.0,holdout (33/67),anova (10),tree,0.8461538461538461,0.5,1.0,0.3333333333333333,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
turma_1,1.0,holdout (33/67),anova (10),naive_bayes,0.7692307692307693,0.6666666666666666,0.5,1.0,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
