name,classification,grades_average,grades_between_0_2_5,grades_between_2_5_5,grades_between_5_7_5,grades_between_7_5_10,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_complete_below_average,activities_incomplete,activities_incomplete_below_average,attendance_below_mean,missing,partial_presence,amount_sequencial_missing,sequencial_missing_1
Aluno 31,negative,5.386666666666667,40.0,0.0,13.333333333333334,46.666666666666664,40.0,20.0,0.0,0.0,0.0,0.0,6.666666666666667,33.33333333333333,33.33333333333333,14.814814814814813,3.7037037037037033,11.11111111111111,0,1
Aluno 32,negative,4.053333333333333,46.666666666666664,6.666666666666667,20.0,26.666666666666668,53.333333333333336,20.0,0.0,0.0,0.0,0.0,0.0,46.666666666666664,40.0,18.51851851851852,7.4074074074074066,11.11111111111111,0,1
Aluno 33,negative,5.966666666666667,40.0,0.0,0.0,60.0,40.0,6.666666666666667,0.0,0.0,0.0,0.0,6.666666666666667,40.0,33.33333333333333,3.7037037037037033,3.7037037037037033,0.0,0,1
Aluno 34,negative,3.3666666666666667,53.333333333333336,0.0,33.33333333333333,13.333333333333334,53.333333333333336,33.33333333333333,0.0,0.0,0.0,0.0,0.0,53.333333333333336,40.0,3.7037037037037033,3.7037037037037033,0.0,0,1
Aluno 35,positive,2.0,80.0,0.0,0.0,20.0,80.0,46.666666666666664,0.0,0.0,0.0,0.0,0.0,80.0,40.0,14.814814814814813,7.4074074074074066,7.4074074074074066,0,1
Aluno 36,negative,4.64,46.666666666666664,6.666666666666667,6.666666666666667,40.0,53.333333333333336,20.0,0.0,0.0,0.0,0.0,0.0,46.666666666666664,40.0,14.814814814814813,7.4074074074074066,7.4074074074074066,0,2
Aluno 37,negative,6.3533333333333335,33.33333333333333,0.0,6.666666666666667,60.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,6.666666666666667,33.33333333333333,33.33333333333333,3.7037037037037033,0.0,3.7037037037037033,0,0
Aluno 38,negative,5.96,40.0,0.0,0.0,60.0,40.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,40.0,40.0,3.7037037037037033,3.7037037037037033,0.0,0,0
Aluno 39,negative,3.893333333333333,53.333333333333336,0.0,20.0,26.666666666666668,53.333333333333336,20.0,0.0,0.0,0.0,0.0,0.0,53.333333333333336,40.0,14.814814814814813,14.814814814814813,0.0,0,3
Aluno 4,negative,6.453333333333333,33.33333333333333,0.0,0.0,66.66666666666666,33.33333333333333,0.0,0.0,0.0,0.0,0.0,6.666666666666667,33.33333333333333,33.33333333333333,11.11111111111111,7.4074074074074066,3.7037037037037033,0,1
Aluno 40,positive,0.0,100.0,0.0,0.0,0.0,100.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,100.0,40.0,74.07407407407408,44.44444444444444,29.629629629629626,0,11
Aluno 41,negative,6.573333333333333,33.33333333333333,0.0,0.0,66.66666666666666,33.33333333333333,0.0,0.0,0.0,0.0,0.0,6.666666666666667,33.33333333333333,33.33333333333333,3.7037037037037033,3.7037037037037033,0.0,0,1
Aluno 5,negative,5.486666666666666,40.0,0.0,13.333333333333334,46.666666666666664,40.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,40.0,40.0,7.4074074074074066,7.4074074074074066,0.0,0,2
Aluno 6,negative,1.3666666666666667,80.0,13.333333333333334,0.0,6.666666666666667,93.33333333333333,53.333333333333336,0.0,0.0,0.0,0.0,0.0,73.33333333333333,40.0,22.22222222222222,18.51851851851852,3.7037037037037033,0,4
Aluno 7,negative,3.0,66.66666666666666,6.666666666666667,0.0,26.666666666666668,73.33333333333333,40.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,37.03703703703704,11.11111111111111,25.925925925925924,0,2
Aluno 8,positive,4.513333333333334,53.333333333333336,0.0,6.666666666666667,40.0,53.333333333333336,20.0,0.0,0.0,0.0,0.0,0.0,46.666666666666664,40.0,14.814814814814813,7.4074074074074066,7.4074074074074066,0,1
Aluno 9,positive,1.0,86.66666666666667,6.666666666666667,0.0,6.666666666666667,93.33333333333333,53.333333333333336,0.0,0.0,0.0,0.0,0.0,86.66666666666667,40.0,14.814814814814813,7.4074074074074066,7.4074074074074066,0,1
