name,classification,grades_average,grades_between_0_2_5,grades_between_2_5_5,grades_between_5_7_5,grades_between_7_5_10,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_complete_below_average,activities_incomplete,activities_incomplete_below_average,attendance_below_mean,missing,partial_presence,amount_sequencial_missing,sequencial_missing_1
Aluno 22,negative,5.480952380952381,38.095238095238095,0.0,19.047619047619047,42.857142857142854,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,4.761904761904762,38.095238095238095,33.33333333333333,5.405405405405405,2.7027027027027026,2.7027027027027026,0,1
Aluno 23,negative,3.1809523809523808,61.904761904761905,9.523809523809524,4.761904761904762,23.809523809523807,71.42857142857143,42.857142857142854,0.0,0.0,0.0,0.0,0.0,57.14285714285714,38.095238095238095,5.405405405405405,5.405405405405405,0.0,0,2
Aluno 24,negative,2.8285714285714283,61.904761904761905,9.523809523809524,9.523809523809524,19.047619047619047,71.42857142857143,42.857142857142854,0.0,0.0,0.0,0.0,0.0,61.904761904761905,38.095238095238095,10.81081081081081,8.108108108108109,2.7027027027027026,0,3
Aluno 25,negative,5.776190476190476,38.095238095238095,0.0,9.523809523809524,52.38095238095239,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,0.0,38.095238095238095,38.095238095238095,8.108108108108109,8.108108108108109,0.0,0,3
Aluno 26,negative,5.685714285714286,38.095238095238095,0.0,9.523809523809524,52.38095238095239,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,0.0,38.095238095238095,38.095238095238095,8.108108108108109,5.405405405405405,2.7027027027027026,0,2
Aluno 27,negative,5.719047619047619,38.095238095238095,0.0,9.523809523809524,52.38095238095239,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,0.0,38.095238095238095,38.095238095238095,5.405405405405405,5.405405405405405,0.0,0,2
Aluno 28,negative,5.6952380952380945,38.095238095238095,0.0,9.523809523809524,52.38095238095239,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,0.0,38.095238095238095,38.095238095238095,2.7027027027027026,2.7027027027027026,0.0,0,1
Aluno 29,negative,1.0666666666666667,85.71428571428571,4.761904761904762,4.761904761904762,4.761904761904762,90.47619047619048,61.904761904761905,0.0,0.0,0.0,0.0,0.0,80.95238095238095,38.095238095238095,13.513513513513514,10.81081081081081,2.7027027027027026,0,4
Aluno 3,negative,2.3476190476190473,71.42857142857143,4.761904761904762,4.761904761904762,19.047619047619047,76.19047619047619,47.61904761904761,0.0,0.0,0.0,0.0,0.0,71.42857142857143,38.095238095238095,2.7027027027027026,2.7027027027027026,0.0,0,1
Aluno 30,positive,1.0238095238095237,90.47619047619048,0.0,0.0,9.523809523809524,90.47619047619048,61.904761904761905,0.0,0.0,0.0,0.0,0.0,85.71428571428571,38.095238095238095,16.216216216216218,10.81081081081081,5.405405405405405,0,4
Aluno 31,negative,5.752380952380952,38.095238095238095,0.0,9.523809523809524,52.38095238095239,38.095238095238095,19.047619047619047,0.0,0.0,0.0,0.0,4.761904761904762,33.33333333333333,33.33333333333333,10.81081081081081,2.7027027027027026,8.108108108108109,0,1
